onset_s,offset_s,pitch,strength_0_1,dur_ms
188.109439,190.119249,76,0.850,2009.8
190.235349,190.386279,74,0.583,150.9
190.572039,191.049332,76,0.457,477.3
191.177041,191.513731,72,0.693,336.7
191.653050,192.001350,74,0.606,348.3
192.361259,192.803722,74,0.677,442.5
192.361259,192.757282,86,0.354,396.0
193.500321,193.686080,74,0.449,185.8
194.069210,195.208271,77,0.740,1139.1
195.208271,195.452081,76,0.638,243.8
195.684280,197.264521,76,0.772,1580.2
198.239759,198.659002,72,0.717,419.2
198.763492,198.995692,74,0.488,232.2
199.320771,199.773560,62,0.661,452.8
199.970930,200.423719,69,0.677,452.8
200.179909,200.330839,81,0.362,150.9
200.516599,201.504731,62,0.654,988.1
200.609478,201.516341,74,0.551,906.9
201.678880,202.178109,70,0.677,499.2
201.678880,201.945910,82,0.354,267.0
202.178109,202.701842,69,0.583,523.7
202.178109,202.630898,81,0.315,452.8
202.783112,202.945652,67,0.362,162.5
203.143021,204.280799,69,0.638,1137.8
204.443339,204.792922,81,0.370,349.6
204.454949,204.862582,69,0.559,407.6
205.849430,206.756292,62,0.819,906.9
206.918832,207.383231,69,0.669,464.4
206.918832,207.255521,81,0.331,336.7
207.429671,208.486179,62,0.693,1056.5
207.429671,207.801190,74,0.417,371.5
207.940510,208.474569,74,0.504,534.1
208.650002,209.172451,70,0.654,522.4
208.777712,209.033132,82,0.409,255.4
209.172451,209.509141,69,0.614,336.7
209.172451,209.706510,81,0.370,534.1
210.147689,212.658012,69,0.780,2510.3
211.286751,212.354869,74,0.598,1068.1
212.308429,212.494189,86,0.315,185.8
213.017922,214.086039,74,0.409,1068.1
213.041141,213.366221,69,0.402,325.1
213.575200,213.958330,69,0.378,383.1
214.853582,215.654670,69,0.591,801.1
214.853582,214.992902,74,0.409,139.3
215.979750,216.153899,69,0.346,174.1
216.502199,216.967882,69,0.638,465.7
216.502199,216.828562,74,0.394,326.4
218.919642,219.070571,69,0.622,150.9
219.163451,219.325991,72,0.496,162.5
219.465311,219.964540,74,0.622,499.2
219.999370,220.196739,73,0.394,197.4
219.999370,220.150299,85,0.205,150.9
220.196739,220.813352,74,0.614,616.6
220.301229,220.523102,86,0.441,221.9
223.055361,223.241121,74,0.394,185.8
