onset_s,offset_s,pitch,strength_0_1,dur_ms
116.174239,116.534149,67,0.441,359.9
116.534149,116.801178,67,0.394,267.0
116.627029,120.797578,69,0.827,4170.5
116.836008,117.068208,69,0.787,232.2
117.068208,120.797578,69,0.803,3729.4
120.983338,121.228431,69,0.362,245.1
121.018168,123.027978,74,0.638,2009.8
121.018168,122.633239,86,0.472,1615.1
121.181991,122.679678,74,0.638,1497.7
121.181991,122.273329,86,0.465,1091.3
122.273329,122.633239,86,0.378,359.9
122.679678,123.027978,74,0.386,348.3
122.691288,123.354341,86,0.346,663.1
123.191801,123.354341,86,0.346,162.5
123.215021,123.354341,69,0.409,139.3
123.482051,123.644590,72,0.591,162.5
123.818740,124.213479,74,0.717,394.7
123.992890,124.213479,74,0.677,220.6
124.317969,124.468899,85,0.307,150.9
124.480509,124.933298,74,0.724,452.8
124.480509,124.910078,86,0.378,429.6
124.643049,124.933298,74,0.598,290.2
125.607961,125.747280,86,0.417,139.3
125.735670,126.025920,74,0.378,290.2
126.258119,127.432011,77,0.693,1173.9
127.443621,130.405449,76,0.866,2961.8
127.617771,127.861580,76,0.764,243.8
127.861580,128.024120,76,0.850,162.5
128.024120,128.279539,76,0.866,255.4
128.279539,129.186401,76,0.835,906.9
129.186401,129.430211,76,0.567,243.8
129.314111,129.453431,74,0.622,139.3
129.430211,129.604361,76,0.441,174.1
129.604361,130.057150,76,0.614,452.8
130.057150,130.196469,76,0.559,139.3
130.196469,130.405449,76,0.520,209.0
130.242909,130.660868,72,0.803,418.0
130.405449,130.660868,72,0.717,255.4
130.788578,131.032388,74,0.465,243.8
131.405191,131.556121,86,0.307,150.9
131.416801,131.869590,74,0.567,452.8
131.904420,132.055350,72,0.535,150.9
132.264329,132.937708,74,0.417,673.4
132.693898,132.937708,74,0.417,243.8
133.159581,133.554321,74,0.433,394.7
133.182801,134.134820,77,0.756,952.0
133.333731,133.554321,74,0.433,220.6
133.728470,134.053550,74,0.457,325.1
134.134820,136.550979,76,0.772,2416.2
134.355409,134.715318,76,0.543,359.9
134.715318,136.550979,76,0.772,1835.7
136.759958,136.945718,76,0.441,185.8
137.376571,137.713260,72,0.551,336.7
137.376571,137.515891,84,0.472,139.3
137.515891,137.713260,72,0.543,197.4
137.840970,138.003510,74,0.402,162.5
138.247319,138.943918,74,0.677,696.6
138.421469,138.642059,74,0.669,220.6
138.642059,138.943918,74,0.677,301.9
139.119351,140.048150,81,0.661,928.8
139.595361,141.732880,74,0.724,2137.5
139.699850,140.048150,81,0.512,348.3
140.094590,140.384839,74,0.724,290.2
140.187469,140.500939,81,0.378,313.5
140.384839,141.011778,74,0.457,626.9
140.802798,141.314921,82,0.764,512.1
141.011778,141.303311,74,0.449,291.5
141.303311,141.732880,74,0.457,429.6
141.314921,142.139229,81,0.709,824.3
141.918640,142.139229,81,0.504,220.6
142.150839,142.290159,82,0.307,139.3
142.232109,142.545579,69,0.724,313.5
142.406259,142.545579,69,0.614,139.3
142.545579,142.917098,70,0.339,371.5
142.951928,143.870400,69,0.795,918.5
143.127361,143.429221,69,0.654,301.9
143.429221,143.870400,69,0.543,441.2
143.533711,143.823960,81,0.417,290.2
144.938518,145.311321,81,0.370,372.8
145.044292,145.891820,74,0.772,847.5
145.090732,145.311321,81,0.370,220.6
145.195221,145.357761,74,0.591,162.5
145.357761,145.601571,74,0.717,243.8
145.601571,145.752500,74,0.701,150.9
145.752500,145.891820,74,0.654,139.3
145.996310,147.646210,74,0.819,1649.9
146.007920,147.216641,81,0.504,1208.7
146.042750,146.425879,93,0.441,383.1
146.518759,147.042492,74,0.740,523.7
147.042492,147.367571,74,0.819,325.1
147.355961,147.704260,81,0.315,348.3
147.367571,147.646210,74,0.693,278.6
147.715870,148.261539,82,0.780,545.7
147.866800,149.029082,74,0.433,1162.3
148.261539,149.005862,81,0.693,744.3
149.121961,149.574751,69,0.724,452.8
149.354161,149.574751,69,0.646,220.6
149.806950,151.689050,69,0.811,1882.1
150.004320,150.317789,69,0.764,313.5
150.317789,150.573209,69,0.811,255.4
150.573209,150.992452,69,0.732,419.2
150.992452,151.294311,69,0.551,301.9
151.294311,151.689050,69,0.591,394.7
151.305921,151.538121,81,0.307,232.2
151.793540,152.118620,69,0.370,325.1
152.641068,153.048702,69,0.409,407.6
152.873268,153.048702,69,0.394,175.4
152.873268,153.002262,81,0.268,129.0
155.615790,156.474929,62,0.850,859.1
155.871210,156.474929,62,0.669,603.7
156.521369,157.196031,69,0.598,674.7
156.998662,158.055170,62,0.787,1056.5
157.230861,157.474671,62,0.394,243.8
157.323741,157.463061,64,0.465,139.3
157.370181,157.846190,69,0.362,476.0
157.474671,158.055170,62,0.787,580.5
158.252539,158.716938,70,0.709,464.4
158.391859,158.612449,82,0.315,220.6
158.716938,162.272159,69,0.764,3555.2
159.020082,160.564209,69,0.764,1544.1
159.217451,159.728290,81,0.331,510.8
160.564209,162.272159,69,0.693,1708.0
160.610649,160.913792,81,0.362,303.1
162.620459,163.213851,62,0.874,593.4
162.841048,162.993262,62,0.874,152.2
162.993262,163.213851,62,0.740,220.6
163.260291,163.411221,67,0.654,150.9
163.399611,164.270359,69,0.756,870.7
163.655030,163.922060,69,0.630,267.0
163.922060,164.270359,69,0.417,348.3
164.049770,164.968242,62,0.764,918.5
164.467729,164.898582,69,0.378,430.9
164.490949,164.968242,62,0.764,477.3
165.212051,166.187289,70,0.764,975.2
165.432641,165.571961,82,0.307,139.3
165.757720,166.187289,70,0.433,429.6
166.187289,168.871762,69,0.740,2684.5
167.303131,167.546941,69,0.685,243.8
167.546941,167.709480,69,0.622,162.5
167.709480,168.871762,69,0.449,1162.3
169.591580,169.754120,72,0.606,162.5
169.788950,170.462329,74,0.591,673.4
169.788950,170.520379,86,0.417,731.4
170.497159,171.299531,69,0.630,802.4
170.717748,171.264701,81,0.457,547.0
170.986062,171.299531,69,0.630,313.5
170.986062,171.264701,81,0.457,278.6
171.450461,172.100620,84,0.425,650.2
171.462071,172.123839,72,0.583,661.8
172.170279,172.808828,82,0.362,638.5
172.181889,172.868162,70,0.598,686.3
172.856552,175.319151,81,0.370,2462.6
172.868162,175.458471,69,0.661,2590.3
174.982462,175.458471,69,0.661,476.0
176.689128,178.327419,86,0.551,1638.3
176.700738,178.362249,74,0.591,1661.5
177.874630,178.327419,86,0.433,452.8
178.385469,179.803170,76,0.740,1417.7
179.803170,179.954100,75,0.622,150.9
179.954100,183.091361,74,0.669,3137.3
180.290789,180.779692,74,0.661,488.9
180.290789,181.871030,86,0.394,1580.2
180.779692,183.091361,74,0.661,2311.7
180.779692,181.871030,86,0.378,1091.3
182.323819,182.532799,86,0.291,209.0
182.683728,182.998482,86,0.433,314.8
184.113039,184.263969,69,0.567,150.9
184.380069,184.530999,72,0.528,150.9
184.693538,185.124391,74,0.693,430.9
184.880582,185.124391,74,0.693,243.8
185.391421,185.855820,86,0.496,464.4
185.403031,185.879040,74,0.591,476.0
186.529199,186.714958,74,0.598,185.8
186.971662,187.110981,75,0.583,139.3
187.145811,188.109439,77,0.669,963.6
188.109439,190.119249,76,0.850,2009.8
188.306809,188.539009,76,0.850,232.2
188.539009,188.853762,76,0.764,314.8
188.853762,189.016302,76,0.764,162.5
189.016302,190.119249,76,0.795,1102.9
190.235349,190.386279,74,0.583,150.9
190.572039,191.049332,76,0.457,477.3
191.177041,191.513731,72,0.693,336.7
191.316361,191.513731,72,0.661,197.4
191.653050,192.001350,74,0.606,348.3
192.361259,192.803722,74,0.677,442.5
192.361259,192.757282,86,0.354,396.0
193.500321,193.686080,74,0.449,185.8
194.069210,195.208271,77,0.740,1139.1
195.208271,195.452081,76,0.638,243.8
195.684280,197.264521,76,0.772,1580.2
196.788512,197.264521,76,0.732,476.0
198.239759,198.659002,72,0.717,419.2
198.483569,198.659002,72,0.717,175.4
198.763492,198.995692,74,0.488,232.2
199.320771,199.773560,62,0.661,452.8
199.541361,199.773560,62,0.661,232.2
199.970930,200.423719,69,0.677,452.8
200.179909,200.330839,81,0.362,150.9
200.516599,201.504731,62,0.654,988.1
200.609478,201.516341,74,0.551,906.9
201.005502,201.504731,62,0.654,499.2
201.005502,201.516341,74,0.551,510.8
201.678880,202.178109,70,0.677,499.2
201.678880,201.945910,82,0.354,267.0
202.178109,202.701842,69,0.583,523.7
202.178109,202.630898,81,0.315,452.8
202.783112,202.945652,67,0.362,162.5
203.143021,204.280799,69,0.638,1137.8
203.293951,203.723520,69,0.504,429.6
203.723520,203.886060,69,0.559,162.5
203.886060,204.280799,69,0.638,394.7
204.443339,204.792922,81,0.370,349.6
204.454949,204.862582,69,0.559,407.6
205.849430,206.756292,62,0.819,906.9
206.081629,206.267389,62,0.480,185.8
206.267389,206.580859,62,0.606,313.5
206.580859,206.756292,62,0.693,175.4
206.918832,207.383231,69,0.669,464.4
206.918832,207.255521,81,0.331,336.7
207.429671,208.486179,62,0.693,1056.5
207.429671,207.801190,74,0.417,371.5
207.940510,208.486179,62,0.693,545.7
207.940510,208.474569,74,0.504,534.1
208.650002,209.172451,70,0.654,522.4
208.777712,209.033132,82,0.409,255.4
209.172451,209.509141,69,0.614,336.7
209.172451,209.706510,81,0.370,534.1
