onset_s,offset_s,pitch,strength_0_1,dur_ms
204.400000,204.853333,69,0.559,453.3
205.800000,206.800000,62,0.819,1000.0
206.906667,207.360000,69,0.669,453.3
206.906667,207.240000,81,0.331,333.3
207.480000,208.490000,62,0.693,1010.0
207.480000,207.840000,74,0.417,360.0
207.948333,208.490000,74,0.504,541.7
208.603333,209.170000,70,0.654,566.7
208.830000,209.056667,82,0.409,226.7
209.170000,209.560000,69,0.614,390.0
209.170000,209.690000,81,0.370,520.0
210.186667,212.633333,69,0.780,2446.7
211.301667,212.396667,74,0.598,1095.0
212.278333,212.515000,86,0.315,236.7
212.995000,214.126667,74,0.409,1131.7
212.995000,213.370000,69,0.402,375.0
213.620000,214.000000,69,0.378,380.0
214.880000,215.623333,69,0.591,743.3
214.880000,215.005000,74,0.409,125.0
216.006667,216.143333,69,0.346,136.7
216.553333,216.950000,69,0.638,396.7
216.553333,216.820000,74,0.394,266.7
218.951667,219.080000,69,0.622,128.3
219.216667,219.353333,72,0.496,136.7
219.490000,219.900000,74,0.622,410.0
220.046667,220.193333,73,0.394,146.7
220.046667,220.193333,85,0.205,146.7
220.193333,220.780000,74,0.614,586.7
220.340000,220.486667,86,0.441,146.7
223.060000,223.200000,74,0.394,140.0
