grid_index,time_s
749,113.715000
750,113.860000
751,114.010000
752,114.160000
753,114.310000
754,114.460000
755,114.610000
756,114.760000
757,114.903333
758,115.046667
759,115.190000
760,115.333333
761,115.476667
762,115.620000
763,115.763333
764,115.906667
765,116.050000
766,116.193333
767,116.336667
768,116.480000
769,116.635000
770,116.790000
771,116.945000
772,117.100000
773,117.255000
774,117.410000
775,117.555000
776,117.700000
777,117.845000
778,117.990000
779,118.135000
780,118.280000
781,118.428333
782,118.576667
783,118.725000
784,118.873333
785,119.021667
786,119.170000
787,119.305000
788,119.440000
789,119.575000
790,119.710000
791,119.845000
792,119.980000
793,120.130000
794,120.280000
795,120.430000
796,120.580000
797,120.730000
798,120.880000
799,121.016667
800,121.153333
801,121.290000
802,121.426667
803,121.563333
804,121.700000
805,121.851667
806,122.003333
807,122.155000
808,122.306667
809,122.458333
810,122.610000
811,122.748333
812,122.886667
813,123.025000
814,123.163333
815,123.301667
816,123.440000
817,123.583333
818,123.726667
819,123.870000
820,124.013333
821,124.156667
822,124.300000
823,124.446667
824,124.593333
825,124.740000
826,124.886667
827,125.033333
828,125.180000
829,125.326667
830,125.473333
831,125.620000
832,125.766667
833,125.913333
834,126.060000
835,126.208333
836,126.356667
837,126.505000
838,126.653333
839,126.801667
840,126.950000
841,127.098333
842,127.246667
843,127.395000
844,127.543333
845,127.691667
846,127.840000
847,127.985000
848,128.130000
849,128.275000
850,128.420000
851,128.565000
852,128.710000
853,128.846667
854,128.983333
855,129.120000
856,129.256667
857,129.393333
858,129.530000
859,129.675000
860,129.820000
861,129.965000
862,130.110000
863,130.255000
864,130.400000
865,130.543333
866,130.686667
867,130.830000
868,130.973333
869,131.116667
870,131.260000
871,131.403333
872,131.546667
873,131.690000
874,131.833333
875,131.976667
876,132.120000
877,132.256667
878,132.393333
879,132.530000
880,132.666667
881,132.803333
882,132.940000
883,133.080000
884,133.220000
885,133.360000
886,133.500000
887,133.640000
888,133.780000
889,133.925000
890,134.070000
891,134.215000
892,134.360000
893,134.505000
894,134.650000
895,134.796667
896,134.943333
897,135.090000
898,135.236667
899,135.383333
900,135.530000
901,135.671667
902,135.813333
903,135.955000
904,136.096667
905,136.238333
906,136.380000
907,136.518333
908,136.656667
909,136.795000
910,136.933333
911,137.071667
912,137.210000
913,137.360000
914,137.510000
915,137.660000
916,137.810000
917,137.960000
918,138.110000
919,138.246667
920,138.383333
921,138.520000
922,138.656667
923,138.793333
924,138.930000
925,139.078333
926,139.226667
927,139.375000
928,139.523333
929,139.671667
930,139.820000
931,139.961667
932,140.103333
933,140.245000
934,140.386667
935,140.528333
936,140.670000
937,140.818333
938,140.966667
939,141.115000
940,141.263333
941,141.411667
942,141.560000
943,141.700000
944,141.840000
945,141.980000
946,142.120000
947,142.260000
948,142.400000
949,142.538333
950,142.676667
951,142.815000
952,142.953333
953,143.091667
954,143.230000
955,143.381667
956,143.533333
957,143.685000
958,143.836667
959,143.988333
960,144.140000
961,144.275000
962,144.410000
963,144.545000
964,144.680000
965,144.815000
966,144.950000
967,145.100000
968,145.250000
969,145.400000
970,145.550000
971,145.700000
972,145.850000
973,145.993333
974,146.136667
975,146.280000
976,146.423333
977,146.566667
978,146.710000
979,146.858333
980,147.006667
981,147.155000
982,147.303333
983,147.451667
984,147.600000
985,147.750000
986,147.900000
987,148.050000
988,148.200000
989,148.350000
990,148.500000
991,148.640000
992,148.780000
993,148.920000
994,149.060000
995,149.200000
996,149.340000
997,149.485000
998,149.630000
999,149.775000
1000,149.920000
1001,150.065000
1002,150.210000
1003,150.365000
1004,150.520000
1005,150.675000
1006,150.830000
1007,150.985000
1008,151.140000
1009,151.280000
1010,151.420000
1011,151.560000
1012,151.700000
1013,151.840000
1014,151.980000
1015,152.121667
1016,152.263333
1017,152.405000
1018,152.546667
1019,152.688333
1020,152.830000
1021,152.975000
1022,153.120000
1023,153.265000
1024,153.410000
1025,153.555000
1026,153.700000
1027,153.853333
1028,154.006667
1029,154.160000
1030,154.313333
1031,154.466667
1032,154.620000
1033,154.765000
1034,154.910000
1035,155.055000
1036,155.200000
1037,155.345000
1038,155.490000
1039,155.626667
1040,155.763333
1041,155.900000
1042,156.036667
1043,156.173333
1044,156.310000
1045,156.463333
1046,156.616667
1047,156.770000
1048,156.923333
1049,157.076667
1050,157.230000
1051,157.366667
1052,157.503333
1053,157.640000
1054,157.776667
1055,157.913333
1056,158.050000
1057,158.203333
1058,158.356667
1059,158.510000
1060,158.663333
1061,158.816667
1062,158.970000
1063,159.121667
1064,159.273333
1065,159.425000
1066,159.576667
1067,159.728333
1068,159.880000
1069,160.033333
1070,160.186667
1071,160.340000
1072,160.493333
1073,160.646667
1074,160.800000
1075,160.945000
1076,161.090000
1077,161.235000
1078,161.380000
1079,161.525000
1080,161.670000
1081,161.820000
1082,161.970000
1083,162.120000
1084,162.270000
1085,162.420000
1086,162.570000
1087,162.710000
1088,162.850000
1089,162.990000
1090,163.130000
1091,163.270000
