onset_s,offset_s,pitch,strength_0_1,dur_ms
57.634331,57.971020,74,0.386,336.7
57.785260,58.156780,36,0.575,371.5
57.994240,58.156780,36,0.394,162.5
58.203220,58.342539,50,0.291,139.3
58.365759,58.760498,26,0.567,394.7
58.365759,58.574739,38,0.433,209.0
58.447029,58.772108,74,0.449,325.1
58.458639,58.772108,86,0.386,313.5
58.551519,58.714059,50,0.386,162.5
58.957868,59.934390,26,0.591,976.5
59.584807,59.737020,45,0.417,152.2
59.946000,60.352349,34,0.630,406.3
60.143370,60.329129,65,0.323,185.8
60.154980,60.723868,77,0.323,568.9
60.236249,60.747088,46,0.465,510.8
60.398789,60.735478,53,0.339,336.7
60.561329,61.619121,34,0.717,1057.8
60.596159,60.781918,65,0.386,185.8
61.723610,62.304109,76,0.362,580.5
61.828100,61.990640,60,0.339,162.5
61.851320,62.315719,36,0.685,464.4
62.188010,62.327329,55,0.409,139.3
62.582749,63.826300,36,0.654,1243.6
63.105198,63.314177,55,0.299,209.0
63.441887,63.826300,36,0.425,384.4
63.686980,64.244259,55,0.370,557.3
63.861130,64.488069,36,0.567,626.9
64.104940,64.488069,36,0.567,383.1
64.534509,64.685439,55,0.346,150.9
64.720268,64.906028,36,0.480,185.8
64.952468,65.115008,36,0.276,162.5
65.312377,65.789670,34,0.551,477.3
65.557471,65.824500,74,0.480,267.0
65.975430,66.927448,34,0.661,952.0
66.056700,66.312119,62,0.378,255.4
66.068310,66.463049,81,0.425,394.7
66.161190,66.706859,53,0.394,545.7
66.532709,66.904228,62,0.472,371.5
66.579149,67.567281,74,0.520,988.1
66.950668,68.554129,31,0.654,1603.5
66.962278,67.519557,50,0.362,557.3
67.066768,67.275747,62,0.370,209.0
67.066768,67.567281,74,0.520,500.5
67.113208,68.554129,31,0.654,1440.9
67.240917,67.438287,55,0.354,197.4
67.357017,67.519557,50,0.362,162.5
67.741430,68.229049,82,0.433,487.6
68.229049,69.169458,81,0.354,940.4
68.298709,68.612179,62,0.378,313.5
68.472859,68.797938,50,0.386,325.1
68.647009,68.797938,45,0.260,150.9
68.647009,68.797938,50,0.386,150.9
68.821158,69.192678,26,0.496,371.5
68.867598,70.889018,69,0.638,2021.4
69.111408,69.542261,69,0.575,430.9
69.215898,69.448097,50,0.339,232.2
69.413267,70.041490,26,0.567,628.2
69.542261,69.913780,69,0.496,371.5
69.913780,70.169200,69,0.638,255.4
70.169200,70.540719,69,0.433,371.5
70.273689,70.482669,26,0.394,209.0
70.459449,70.819358,81,0.370,359.9
70.540719,70.889018,69,0.441,348.3
70.830968,71.074778,45,0.386,243.8
70.935458,71.388247,26,0.520,452.8
71.399857,71.784270,81,0.339,384.4
71.446297,71.830710,45,0.346,384.4
71.923590,72.074520,62,0.472,150.9
71.935200,72.771118,74,0.583,835.9
72.132570,72.295109,74,0.520,162.5
72.295109,72.562139,74,0.528,267.0
72.364769,72.747898,34,0.661,383.1
72.562139,72.771118,74,0.583,209.0
72.596969,73.107808,46,0.409,510.8
72.817558,73.107808,46,0.409,290.2
