time,frequency,confidence
3.700,352.442,0.130930
3.710,463.398,0.162013
3.720,432.473,0.230895
3.730,433.102,0.249448
3.740,454.305,0.282628
3.750,455.029,0.474649
3.760,456.677,0.256821
3.770,258.231,0.232306
3.780,257.468,0.159443
3.790,254.600,0.222975
3.800,439.563,0.229430
3.810,438.366,0.574921
3.820,439.114,0.382145
3.830,517.995,0.252462
3.840,261.745,0.346901
3.850,516.986,0.179617
3.860,354.574,0.190324
3.870,518.644,0.148255
3.880,433.052,0.179850
3.890,435.003,0.225838
3.900,450.065,0.259590
3.910,453.542,0.623046
3.920,456.834,0.759833
3.930,458.337,0.734369
3.940,459.029,0.583088
3.950,455.082,0.432006
3.960,454.744,0.121321
3.970,432.032,0.072299
3.980,433.805,0.090854
3.990,434.182,0.230962
4.000,431.619,0.196607
4.010,425.098,0.169283
4.020,419.528,0.292284
4.030,258.755,0.164135
4.040,430.098,0.445464
4.050,430.699,0.485485
4.060,426.062,0.538971
4.070,426.095,0.474354
4.080,426.419,0.318617
4.090,445.648,0.267304
4.100,425.484,0.293013
4.110,423.392,0.268750
4.120,415.690,0.055946
4.130,32.739,0.035059
4.140,1409.562,0.046108
4.150,258.743,0.178949
4.160,322.199,0.190474
4.170,322.780,0.326236
4.180,323.214,0.269264
4.190,321.610,0.240113
4.200,323.073,0.099420
4.210,32.653,0.236395
4.220,64.449,0.123311
4.230,77.511,0.162161
4.240,80.358,0.288717
4.250,79.352,0.306475
4.260,78.977,0.209797
4.270,304.447,0.288952
4.280,300.343,0.285147
4.290,298.684,0.194526
4.300,300.603,0.127958
4.310,44.626,0.093388
4.320,266.355,0.105552
4.330,1107.582,0.032263
4.340,75.854,0.012613
4.350,32.439,0.009050
4.360,37.525,0.076191
4.370,36.482,0.198382
4.380,37.326,0.423422
4.390,38.253,0.435241
4.400,39.065,0.468150
4.410,39.186,0.642013
4.420,39.028,0.633276
4.430,38.993,0.734806
4.440,38.440,0.496488
4.450,36.489,0.793185
4.460,36.479,0.820215
4.470,36.166,0.165326
4.480,31.963,0.370333
4.490,32.145,0.088547
4.500,35.372,0.190874
4.510,35.974,0.789487
4.520,36.610,0.845748
4.530,36.878,0.851923
4.540,37.127,0.728998
4.550,37.016,0.806111
4.560,37.757,0.507345
4.570,37.141,0.706888
4.580,36.966,0.670981
4.590,37.327,0.620535
4.600,36.899,0.850503
4.610,36.983,0.654335
4.620,37.520,0.399915
4.630,37.055,0.805937
4.640,36.621,0.866428
4.650,36.558,0.897049
4.660,36.506,0.910493
4.670,36.534,0.867118
4.680,36.518,0.923349
4.690,36.475,0.898659
4.700,36.446,0.906763
4.710,36.437,0.929182
4.720,36.217,0.872418
4.730,36.194,0.859759
4.740,36.262,0.876667
4.750,36.202,0.870187
4.760,36.226,0.886169
4.770,36.341,0.857639
4.780,36.613,0.869015
4.790,36.635,0.929949
4.800,36.373,0.840363
