time,frequency,confidence
4.400,154.442,0.109809
4.410,156.804,0.060300
4.420,157.953,0.389945
4.430,156.153,0.499235
4.440,153.540,0.271554
4.450,152.127,0.396829
4.460,151.427,0.125894
4.470,369.177,0.177873
4.480,368.518,0.151680
4.490,366.438,0.202717
4.500,365.129,0.065113
4.510,151.182,0.089718
4.520,153.535,0.020401
4.530,36.089,0.052313
4.540,32.086,0.049941
4.550,32.250,0.012340
4.560,988.173,0.015384
4.570,227.733,0.063479
4.580,222.949,0.172713
4.590,112.156,0.293975
4.600,57.012,0.067723
4.610,43.170,0.093954
4.620,43.332,0.123440
4.630,43.404,0.084236
4.640,43.842,0.093959
4.650,43.932,0.477946
4.660,43.365,0.165142
4.670,34.851,0.157236
4.680,34.526,0.174403
4.690,36.588,0.114994
4.700,36.311,0.413873
4.710,37.122,0.066705
4.720,36.295,0.071101
4.730,36.255,0.076372
4.740,35.802,0.357499
4.750,36.082,0.205125
4.760,251.737,0.027110
4.770,114.262,0.009163
4.780,153.921,0.021739
4.790,35.554,0.616076
4.800,35.839,0.777688
4.810,36.031,0.622463
4.820,36.392,0.314410
4.830,37.177,0.162745
4.840,37.292,0.045199
4.850,37.462,0.066349
4.860,37.175,0.128740
4.870,37.588,0.112050
4.880,38.287,0.064237
4.890,44.621,0.098216
4.900,33.387,0.047245
4.910,34.302,0.079631
4.920,35.929,0.079151
4.930,33.387,0.093379
4.940,33.197,0.411960
4.950,32.997,0.110674
4.960,166.040,0.168607
4.970,331.294,0.212713
4.980,259.546,0.029318
4.990,33.126,0.191458
5.000,333.937,0.292759
5.010,290.998,0.393148
5.020,333.073,0.390343
5.030,333.732,0.520523
5.040,330.575,0.276757
5.050,182.151,0.100153
5.060,38.444,0.100316
5.070,38.165,0.132792
5.080,454.806,0.063780
5.090,36.386,0.446104
5.100,36.365,0.574506
5.110,36.258,0.652107
5.120,36.365,0.714543
5.130,36.508,0.392960
5.140,36.705,0.277466
5.150,36.603,0.670500
5.160,36.679,0.471536
5.170,36.419,0.675297
5.180,35.614,0.509895
5.190,35.354,0.502042
5.200,35.010,0.057793
5.210,38.875,0.155973
5.220,153.598,0.066173
5.230,39.182,0.037473
5.240,143.116,0.065522
5.250,36.379,0.388082
5.260,140.626,0.181550
5.270,35.855,0.187062
5.280,143.935,0.349341
5.290,142.789,0.202095
5.300,36.395,0.064920
5.310,36.705,0.120341
5.320,114.332,0.072412
5.330,36.377,0.282512
5.340,36.614,0.398995
5.350,36.916,0.310177
5.360,36.893,0.331297
5.370,36.353,0.627295
5.380,36.318,0.725382
5.390,36.413,0.563883
5.400,36.732,0.590743
5.410,36.909,0.830796
5.420,36.680,0.915188
5.430,36.762,0.776292
5.440,36.600,0.903442
5.450,36.559,0.896419
5.460,36.657,0.893524
5.470,36.707,0.705965
5.480,36.767,0.774381
5.490,36.603,0.794335
5.500,36.341,0.858924
5.510,36.445,0.833878
5.520,36.555,0.791303
5.530,36.342,0.782355
5.540,36.506,0.812453
5.550,36.504,0.882631
5.560,36.584,0.933846
5.570,36.754,0.914389
5.580,36.707,0.882406
5.590,36.657,0.764878
5.600,37.040,0.380129
5.610,185.653,0.233197
5.620,185.382,0.430796
5.630,184.186,0.690366
5.640,183.468,0.683211
5.650,181.963,0.734086
5.660,182.734,0.709704
5.670,181.815,0.712375
5.680,182.750,0.516220
5.690,184.995,0.396581
5.700,37.065,0.653708
5.710,37.029,0.661830
5.720,36.933,0.684755
5.730,36.859,0.669733
5.740,36.998,0.442909
5.750,36.867,0.388756
5.760,36.730,0.313361
5.770,36.649,0.494057
5.780,36.508,0.563570
5.790,36.498,0.535345
5.800,36.746,0.506546
5.810,147.065,0.522092
5.820,147.790,0.594531
5.830,147.507,0.728821
5.840,147.408,0.779609
5.850,147.462,0.776109
5.860,147.138,0.786368
5.870,146.957,0.817469
5.880,147.546,0.706732
5.890,147.772,0.562462
5.900,147.625,0.553923
5.910,36.618,0.330080
5.920,36.880,0.237564
5.930,36.600,0.328588
5.940,36.430,0.518605
5.950,36.423,0.520310
5.960,36.495,0.555843
5.970,36.569,0.740463
5.980,36.819,0.870092
5.990,36.678,0.854269
6.000,36.610,0.528037
6.010,36.489,0.632757
6.020,36.450,0.797875
6.030,36.676,0.845812
6.040,36.790,0.798841
6.050,36.662,0.760156
6.060,36.781,0.839904
6.070,36.685,0.869944
6.080,36.609,0.899916
6.090,36.788,0.753295
6.100,36.724,0.789235
6.110,36.690,0.771438
6.120,36.728,0.701434
6.130,36.796,0.739847
6.140,36.672,0.371774
6.150,36.733,0.362340
6.160,36.822,0.404499
6.170,36.834,0.435878
6.180,36.905,0.602539
6.190,36.716,0.457510
6.200,36.749,0.687656
6.210,36.855,0.835872
6.220,37.042,0.667048
6.230,36.869,0.713907
6.240,36.883,0.668732
6.250,36.698,0.795881
6.260,36.764,0.692383
6.270,147.376,0.413324
6.280,145.717,0.396489
6.290,36.758,0.640813
6.300,145.596,0.640963
6.310,147.682,0.726781
6.320,148.544,0.679600
6.330,149.090,0.725511
6.340,148.338,0.635043
6.350,146.383,0.648147
6.360,145.760,0.664901
6.370,146.242,0.698498
6.380,147.287,0.760169
6.390,148.710,0.726968
6.400,147.957,0.680591
6.410,148.749,0.592124
6.420,148.826,0.580516
6.430,147.878,0.600152
6.440,149.036,0.505133
6.450,148.067,0.600492
